company,event_type,sector,from_country,to_country,investment_usd,jobs_created,jobs_lost,bios_score,recommended_action,rationale,summary,source_url
EU,relocation,energy,Lithuania,Ukraine,,,,4,tender_watch,"The sector is not aligned with BIOS's services, and the technical complexity is low, resulting in a low overall score.",The EU has successfully completed a significant relocation of a heavy-lift power plant from Lithuania to Ukraine. This project is crucial for enhancing Ukraine's energy infrastructure amidst ongoing challenges.,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPU3VsZTVrRlVIZV9HbHVLWkVYVUUtd3RhaHlrZnJCRDFPblVnV21PX2ZnbXJ4QmdvcW9NUjZLcVBvZVAweWpNTnNWcTc1dWhoUVM3WThmejZhQVZpdnJ4UDFmM2dqTG1sRFc3T0pkZDBwdy1VSFF5cGY5TURYdlpYdDRVejBLOGEzcG5NeDBDYVFOS1g4R014S0ZqYmFoNG1HS3lqTHl1Q2ZYTklEUlNGZ1BXY0xTUjhTWFhycmduNmxNYUF2NVZTQWdweERsSzh2STRVS0tBY2ZUV3dvdlExY0lnc2I?oc=5
Mitel,relocation,telecommunications,Canada,Germany,,,,50,monitor,"The technical complexity and relocation certainty are high, but the sector fit is low, leading to a moderate overall score.",Mitel is relocating its IP phone manufacturing operations to Germany to enhance production efficiency and meet growing demand in the European market. This move is significant as it aligns with the company's strategy to strengthen its presence in Europe.,https://news.google.com/rss/articles/CBMikAFBVV95cUxOSjBsV3BqWDg5dkMwaUZFQ2ZxeEFYeHhMQUhFbjNBU0lXX2lTREdLSHg1bmxjaXNfanE3RHZSMDZKdlBCU29GbWNlTkg2ck1nUGwxaGQ1ZjdaWjBMS0M4dHlUdktFTW1RY0FoWGc5czd3WmIzbkZfTldSV0VXS0RVVmhBYTd5NVk2TDB3MGxvRDA?oc=5
Scottish wind turbine factory,relocation,renewable energy,United Kingdom,Europe,,,,0,tender_watch,"The sector is not aligned with BIOS's focus areas, and the overall score is low.",The Scottish wind turbine factory is considering relocating to Europe due to delays from the UK government. This move is significant as it reflects the challenges faced in the renewable energy sector and the need for timely government support.,https://news.google.com/rss/articles/CBMipAFBVV95cUxOaUR6M0lSYUNKS3NMY0t3WWZ3Z1FvVVRRdE52OURWX0V4OEc0VTMzbDN2RjVTcDJ5aVVoZU1TbENXd3kzSXFFeHctWjM0ZGh4LTJnYlZVTk9JRW55SGdQQkllWlk5dmJkLWI0ckp6eTNYRm91M09JbFlUQkJiLUJrb3FjWkxSWHZlRzlidktiUUFqVEh1cVdEenFCYVFlVmpPRW45Nw?oc=5
BYD,production_transfer,automotive,Turkey,Hungary,,,,66,monitor,"The production transfer involves a high-tech automotive sector with confirmed relocation, but the urgency is not immediate.",BYD is adjusting its production strategy by delaying mass production at its plant in Hungary while accelerating operations at its facility in Turkey.,https://news.google.com/rss/articles/CBMigAFBVV95cUxQdjFHMXhOazkwYTBwbE9WdWE5NGhXVkVKdGZGZnU0cHBwakxUemFWY1Nua1lKMWgzYzdKRG5sSFFmRDBDd3RsRUhfa1NVU0ZNOU82aGhSdHozSWxDUmlGX1NPUExYcENfSGVpRGZKclFOOE9ta3lYdGVjdHhnUkRQSA?oc=5
European chemical plant,closure,chemical,,,,,,0,tender_watch,"The event does not align with BIOS's service sectors, and the overall score is low.",A significant number of chemical plants in Europe are closing due to a lack of investment. This trend highlights the challenges facing the chemical industry in maintaining operations and securing future growth.,https://news.google.com/rss/articles/CBMihwFBVV95cUxOemFTclpxRkZkXzZFbmNVS2o5ak40Z2k3NXBaMDhlQW03cGpSMnRjV2c1RHo4azYzbTduYm9GUm9odFZrX3ZPWlRrcmxyVV9uQjJvbGZ2VWpDT0xjMi1fMmxmcmlhX0pNZXRNa1k2REFfVlFITFg3NFk3UWtKdnhmbEJNcDVHbU0?oc=5
Chemical Plant,closure,chemical,Europe,,,,,4,tender_watch,"The sector is not aligned with BIOS's services, and the overall score is low.","The article discusses a significant increase in the rate of chemical plant closures across Europe, which has surged six-fold since 2022. This trend raises concerns about the future of the chemical industry in the region.",https://news.google.com/rss/articles/CBMiswFBVV95cUxPdURveWxSUFNWdl9hQUVQaDdmM1pRbTctZDF1MkNnWU9YX0w3THFFbVhFdGFzc3dfb0NTV3ZScTh4X0hlcERLQjNBSy1LMkJhVWV0VXl5U3hveFJ2SjAwZ1NPSFI1Z25OUnlpOVpOYkEzRk16Z0UtMGIyMEpsVGZLQmZqQ1dqQ2licVdxMDdXejhsSmhIWlBNN3BEeV94bHpnWHdEVkhfRTA1c3ZrWHJUS3lOQQ?oc=5
Nissan,closure,automotive,United Kingdom,,,,,50,monitor,"The situation is uncertain and may lead to future opportunities for BIOS, but currently, it is not confirmed.","Nissan has indicated that its Sunderland plant may face closure if the UK is excluded from the 'Made in Europe' regulations, which could significantly impact its operations in the region.",https://news.google.com/rss/articles/CBMixwFBVV95cUxNTnpRQ1gwNXBfeFNaVXVSZjFtWmg5LXBwMDhrYWZlMS03WjR1a2FMS3I3MzJ6TmJqbEFoTkVmd1FKUlNRWHFMUTBrYzBDU0J0VWdBNWN4NEVrVm9ZZm8zVnN1QlpCcjNsQkNmYXpFMDVkU2dHeVF0a09sUGhPTVhySFNfV1hlLUF1dnlZTURkeWlEdVhxUTM2ZUhMLUxxTHJLTFg4aFYydXVwSTBPaTJvUlBxN1duQ01tLVhMTXQ4TGVZTy1zTW9Z?oc=5
European chemical industry,closure,chemical,,,,,,0,tender_watch,"The event is a closure in the chemical sector, which BIOS does not serve, resulting in a low fit score.","The European chemical industry is experiencing a significant crisis, with a surge in plant closures and a stall in investments. This situation poses challenges for the sector's future and economic stability.",https://news.google.com/rss/articles/CBMiywFBVV95cUxQRGpHalNfRjMwb3dEc0E1cHFEcV9tdXVGQTdBNi1NUWpkR1E1dXU3T1B4cE9hM1o2MmhlV08wTUZiVTZNb1NMVEJOYWl6UkpFNnVvSjc0Q1Jxb3BrYmRvTjhyTUp2S0R6SWdGR3IzbjI1OFViNzVMZ2cxWHlmNl9OUWlUYi1ybEhYRW84cjY1ZlVrQTg2NHJUdk9OT2lGSDhzT2R4MjE1dTV4Zk5xY0RXMkt2b1lkLWluWDdzT2lpa21BVl9PbU04RnRPVdIB0gFBVV95cUxOUU1tV2FsS3hoMk9icmJqS3dDcDk3QWxxbWdqVU9WWEE4MFUxY0lpUzJrMFBpdElYYjkwU2ZFMUJpNml4NFFBLVZjYWRINk9faWpUQ05aakNhbzZOSVhaaWhXZC1zTkFHSGNVejJ1d1pld3BOeHRabjhBdXJtcXB2Z3FWVUkybEhyV2JpMW5xblp0LU9lajRYUi1OX1BsZ2tHYUpHQ2RKdGtrTUlia2xFQ2x0SWFibEd3Q24yWnhRRHUyZXMzdDBTVmJPdVVIT3BTWWc?oc=5
GE Aerospace,expansion,aerospace,,Europe,110000000,,,50,monitor,"The investment is significant and involves a complex manufacturing process in the aerospace sector, which aligns with BIOS's services, but the urgency is moderate.","GE Aerospace is planning to invest over €110 million in expanding its manufacturing capabilities in Europe, which will also enhance workforce development initiatives.",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQLU9Xbk5DQ1hBWFI5Ml9fQXdKU0p4ZXNXcW5VSHRUNDhDazg3UDRWU2lCV2hURkNXOG1BYWs0MEVnb0NqNlNkX3NsRXE0cFlBME5fT1V3c0xmWGM0UVNrQ1NJNll0WEpNYlFna0kydkdBTTl4TDBNdExEaWVIdnlJTEhFT2duYUJ0VUlzMjEwX0pMWkpudlozQXcwRzlPUkNwZ1NHX0JuS2lyVXZTNndyTnRZRnA2TWtDOFp1eGRNcm0wcG8?oc=5
Eli Lilly,expansion,pharmaceutical,USA,Europe,3000000000,,,66,monitor,"The investment is in the pharmaceutical sector, which aligns with BIOS's services, and the event is confirmed, but the urgency is moderate.",Eli Lilly is making a significant investment of US$3 billion in expanding its manufacturing capabilities in Europe. This move is aimed at enhancing their production capacity and digital manufacturing processes.,https://news.google.com/rss/articles/CBMijwFBVV95cUxQS2dLa09XcTRmaUpDVm5TTUNaT1ZkUWl1ald2X3duQ3pNQ0hfS2d5RzQwcWxCbkdyY2NyV2s1ZGFjQjBLSzNJcG1KZGwzWWpKa21Eb1JuQ3RHYk1RVDhYUjJDbDZSUzBpODVrMGtoUDZ1YVVWbmZsYWFZSHBMZHMxWGFwdFFieWhJZlNEMnRJNA?oc=5
